Building Name,Building Code,Name,Old Unit No,Unit Type,PREMISES NO,Rental Status,Property Service Type,Price,Building Segment,Unit Segment,
AL MAMZER TOWER,F8,F8-906,906,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-906,
AL MAMZER TOWER,F8,F8-907,907,2BHK,,LEASED,Property Rental," 	42,000.00 ",AL MAMZER TOWER,F8-907,
AL MAMZER TOWER,F8,F8-908,908,1BHK,,LEASED,Property Rental," 	28,000.00 ",AL MAMZER TOWER,F8-908,
AL MAMZER TOWER,F8,F8-Parking F3 - 01,Parking F3 - 01,PARKING,,VACANT,Property Rental," 	2,000.00 ",,,
AL MAMZER TOWER,F8,F8-Parking F4 - 49,Parking F4 - 49,PARKING,,LEASED,Property Rental," 	2,000.00 ",,,
AL MAMZER TOWER,F8,F8-Parking F5 - 07,Parking F5 - 07,PARKING,,LEASED,Property Rental," 	2,000.00 ",,,
AL MAMZER TOWER,F8,F8-SH01,SH01,SHOP,,LEASED,Property Rental," 	100,000.00 ",AL MAMZER TOWER,F8-SH01,
AL MAMZER TOWER,F8,F8-SH02,SH02,SHOP,,LEASED,Property Rental," 	126,000.00 ",AL MAMZER TOWER,F8-SH02,
AL MAMZER TOWER,F8,F8-SH03,SH03,SHOP,,LEASED,Property Rental," 	188,000.00 ",AL MAMZER TOWER,F8-SH03,
AL MAMZER TOWER,F8,F8-SH04,SH04,SHOP,,LEASED,Property Rental," 	140,000.00 ",AL MAMZER TOWER,F8-SH04,
AL MAMZER TOWER,F8,F8-SH05,SH05,SHOP,,VACANT,Property Rental," 	90,000.00 ",AL MAMZER TOWER,F8-SH05,
AL MAMZER TOWER,F8,F8-SH06,SH06,SHOP,,LEASED,Property Rental," 	100,000.00 ",AL MAMZER TOWER,F8-SH06,
AL MAMZER TOWER,F8,F8-SH07,SH07,SHOP,,LEASED,Property Rental," 	100,000.00 ",AL MAMZER TOWER,F8-SH07,
MUHAISANAH 4,F9,F9-101,101,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-101,
MUHAISANAH 4,F9,F9-102,102,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-102,
MUHAISANAH 4,F9,F9-103,103,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-103,
MUHAISANAH 4,F9,F9-104,104,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-104,
MUHAISANAH 4,F9,F9-105,105,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-105,
MUHAISANAH 4,F9,F9-106,106,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-106,
MUHAISANAH 4,F9,F9-107,107,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-107,
MUHAISANAH 4,F9,F9-108,108,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-108,
MUHAISANAH 4,F9,F9-109,109,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-109,
MUHAISANAH 4,F9,F9-110,110,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-110,
MUHAISANAH 4,F9,F9-111,111,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-111,
MUHAISANAH 4,F9,F9-112,112,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-112,
MUHAISANAH 4,F9,F9-201,201,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-201,
MUHAISANAH 4,F9,F9-202,202,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-202,
MUHAISANAH 4,F9,F9-203,203,2BHK,,VACANT,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-203,
MUHAISANAH 4,F9,F9-204,204,2BHK,,LEASED,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-204,
MUHAISANAH 4,F9,F9-205,205,2BHK,,VACANT,Property Rental," 	48,000.00 ",MUHAISANAH 4,F9-205,
